"ID番号","_05"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:50:36"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",227.83
"総合COP 速度（cm/秒）", 83.15
"総合COP 矩形面積（c ㎡）",3677.70
"総合COP 左右幅（cm）", 16.71
"総合COP 前後幅（cm）",220.09
"総合COP Y 方向軌跡長（cm）", 52.29
"総合COP Y 方向単位軌跡長（cm/秒）", 19.08
"総合COP X 方向軌跡長（cm）",220.09
"総合COP X 方向単位軌跡長（cm/秒）", 80.32
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 18.91, 35.51,"-.--","-.--","-.--"
  0.01, 18.91, 35.49,  2.00,  0.00,  2.00
  0.02, 18.97, 35.47,  6.32,  6.00,  2.00
  0.03, 19.14, 35.43, 17.46, 17.00,  4.00
  0.04, 19.31, 35.41, 17.12, 17.00,  2.00
  0.05, 19.51, 35.31, 22.36, 20.00, 10.00
  0.06, 19.69, 35.25, 18.97, 18.00,  6.00
  0.07, 19.86, 35.17, 18.79, 17.00,  8.00
  0.08, 19.96, 35.09, 12.81, 10.00,  8.00
  0.09, 20.15, 35.05, 19.42, 19.00,  4.00
  0.10, 20.26, 35.02, 11.40, 11.00,  3.00
  0.11, 20.43, 34.98, 17.46, 17.00,  4.00
  0.12, 20.69, 35.00, 26.08, 26.00,  2.00
  0.13, 21.24, 35.00, 55.00, 55.00,  0.00
  0.14, 21.72, 34.95, 48.26, 48.00,  5.00
  0.15, 22.17, 34.91, 45.18, 45.00,  4.00
  0.16, 22.47, 34.85, 30.59, 30.00,  6.00
  0.17, 22.81, 34.79, 34.53, 34.00,  6.00
  0.18, 23.18, 34.74, 37.34, 37.00,  5.00
  0.19, 23.46, 34.67, 28.86, 28.00,  7.00
  0.20, 23.73, 34.63, 27.29, 27.00,  4.00
  0.21, 23.97, 34.63, 24.00, 24.00,  0.00
  0.22, 24.14, 34.62, 17.03, 17.00,  1.00
  0.23, 24.25, 34.64, 11.18, 11.00,  2.00
  0.24, 24.51, 34.62, 26.08, 26.00,  2.00
  0.25, 24.71, 34.60, 20.10, 20.00,  2.00
  0.26, 24.95, 34.59, 24.02, 24.00,  1.00
  0.27, 25.18, 34.57, 23.09, 23.00,  2.00
  0.28, 25.48, 34.51, 30.59, 30.00,  6.00
  0.29, 25.66, 34.49, 18.11, 18.00,  2.00
  0.30, 25.93, 34.43, 27.66, 27.00,  6.00
  0.31, 26.44, 34.37, 51.35, 51.00,  6.00
  0.32, 26.78, 34.30, 34.71, 34.00,  7.00
  0.33, 27.15, 34.25, 37.34, 37.00,  5.00
  0.34, 27.46, 34.19, 31.58, 31.00,  6.00
  0.35, 27.86, 34.17, 40.05, 40.00,  2.00
