"ID番号","_01"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 20:30:30"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",234.82
"総合COP 速度（cm/秒）", 79.33
"総合COP 矩形面積（c ㎡）",4463.02
"総合COP 左右幅（cm）", 20.15
"総合COP 前後幅（cm）",221.49
"総合COP Y 方向軌跡長（cm）", 72.75
"総合COP Y 方向単位軌跡長（cm/秒）", 24.58
"総合COP X 方向軌跡長（cm）",221.53
"総合COP X 方向単位軌跡長（cm/秒）", 74.84
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 17.51, 41.51,"-.--","-.--","-.--"
  0.01, 17.75, 41.67, 28.84, 24.00, 16.00
  0.02, 17.81, 41.63,  7.21,  6.00,  4.00
  0.03, 17.93, 41.61, 12.17, 12.00,  2.00
  0.04, 18.12, 41.62, 19.03, 19.00,  1.00
  0.05, 18.79, 41.60, 67.03, 67.00,  2.00
  0.06, 19.08, 41.60, 29.00, 29.00,  0.00
  0.07, 19.41, 41.60, 33.00, 33.00,  0.00
  0.08, 20.07, 41.54, 66.27, 66.00,  6.00
  0.09, 20.43, 41.55, 36.01, 36.00,  1.00
  0.10, 20.60, 41.58, 17.26, 17.00,  3.00
  0.11, 21.06, 41.67, 46.87, 46.00,  9.00
  0.12, 21.60, 41.88, 57.94, 54.00, 21.00
  0.13, 22.04, 42.01, 45.88, 44.00, 13.00
  0.14, 22.37, 42.05, 33.24, 33.00,  4.00
  0.15, 22.72, 42.12, 35.69, 35.00,  7.00
  0.16, 23.07, 42.08, 35.23, 35.00,  4.00
  0.17, 23.32, 42.10, 25.08, 25.00,  2.00
  0.18, 23.52, 42.15, 20.62, 20.00,  5.00
  0.19, 23.74, 42.19, 22.36, 22.00,  4.00
  0.20, 24.13, 42.21, 39.05, 39.00,  2.00
  0.21, 24.55, 42.24, 42.11, 42.00,  3.00
  0.22, 24.98, 42.32, 43.74, 43.00,  8.00
  0.23, 25.39, 42.39, 41.59, 41.00,  7.00
  0.24, 25.70, 42.46, 31.78, 31.00,  7.00
  0.25, 26.12, 42.55, 42.95, 42.00,  9.00
  0.26, 26.50, 42.58, 38.12, 38.00,  3.00
  0.27, 26.92, 42.65, 42.58, 42.00,  7.00
  0.28, 27.29, 42.73, 37.85, 37.00,  8.00
  0.29, 27.73, 42.75, 44.05, 44.00,  2.00
  0.30, 28.11, 42.78, 38.12, 38.00,  3.00
  0.31, 28.37, 42.81, 26.17, 26.00,  3.00
  0.32, 28.64, 42.86, 27.46, 27.00,  5.00
  0.33, 28.99, 42.88, 35.06, 35.00,  2.00
  0.34, 29.31, 42.91, 32.14, 32.00,  3.00
  0.35, 29.63, 42.88, 32.14, 32.00,  3.00
  0.36, 29.98, 42.94, 35.51, 35.00,  6.00
  0.37, 30.27, 42.93, 29.02, 29.00,  1.00
  0.38, 30.61, 42.92, 34.01, 34.00,  1.00
  0.39, 30.87, 42.94, 26.08, 26.00,  2.00
  0.40, 31.10, 42.94, 23.00, 23.00,  0.00
  0.41, 31.22, 42.91, 12.37, 12.00,  3.00
  0.42, 31.38, 42.89, 16.12, 16.00,  2.00
  0.43, 31.50, 42.87, 12.17, 12.00,  2.00
  0.44, 31.58, 42.84,  8.54,  8.00,  3.00
  0.45, 31.64, 42.84,  6.00,  6.00,  0.00
  0.46, 31.73, 42.82,  9.22,  9.00,  2.00
  0.47, 31.77, 42.83,  4.12,  4.00,  1.00
  0.48, 31.87, 42.76, 12.21, 10.00,  7.00
  0.49, 31.93, 42.76,  6.00,  6.00,  0.00
  0.50, 32.03, 42.75, 10.05, 10.00,  1.00
  0.51, 32.10, 42.70,  8.60,  7.00,  5.00
  0.52, 32.17, 42.67,  7.62,  7.00,  3.00
  0.53, 32.23, 42.62,  7.81,  6.00,  5.00
  0.54, 32.30, 42.60,  7.28,  7.00,  2.00
  0.55, 32.35, 42.58,  5.39,  5.00,  2.00
  0.56, 32.37, 42.54,  4.47,  2.00,  4.00
  0.57, 32.47, 42.51, 10.44, 10.00,  3.00
  0.58, 32.52, 42.49,  5.39,  5.00,  2.00
  0.59, 32.59, 42.45,  8.06,  7.00,  4.00
  0.60, 32.65, 42.41,  7.21,  6.00,  4.00
  0.61, 32.71, 42.40,  6.08,  6.00,  1.00
  0.62, 32.78, 42.33,  9.90,  7.00,  7.00
  0.63, 32.90, 42.28, 13.00, 12.00,  5.00
  0.64, 33.02, 42.25, 12.37, 12.00,  3.00
  0.65, 33.10, 42.19, 10.00,  8.00,  6.00
  0.66, 33.56, 42.01, 49.40, 46.00, 18.00
  0.67, 40.23, 39.27,721.09,667.00,274.00
  0.68, 45.47, 37.16,564.89,524.00,211.00
  0.69, 48.50, 35.96,325.90,303.00,120.00
  0.70, 50.20, 35.32,181.65,170.00, 64.00
  0.71, 51.71, 34.71,162.86,151.00, 61.00
  0.72, 53.85, 33.86,230.26,214.00, 85.00
  0.73, 55.17, 33.38,140.46,132.00, 48.00
  0.74, 57.61, 32.41,262.57,244.00, 97.00
  0.75, 60.37, 31.39,294.24,276.00,102.00
  0.76, 63.38, 30.32,319.45,301.00,107.00
  0.77, 66.65, 29.14,347.64,327.00,118.00
  0.78, 69.39, 28.20,289.68,274.00, 94.00
  0.79, 71.95, 27.29,271.69,256.00, 91.00
  0.80, 74.25, 26.50,243.19,230.00, 79.00
  0.81, 75.90, 25.93,174.57,165.00, 57.00
  0.82, 76.87, 25.59,102.79, 97.00, 34.00
  0.83, 77.41, 25.38, 57.94, 54.00, 21.00
  0.84, 77.83, 25.26, 43.68, 42.00, 12.00
  0.85, 78.13, 25.17, 31.32, 30.00,  9.00
  0.86, 78.43, 25.07, 31.62, 30.00, 10.00
  0.87, 78.73, 24.97, 31.62, 30.00, 10.00
  0.88, 79.14, 24.86, 42.45, 41.00, 11.00
  0.89, 79.51, 24.76, 38.33, 37.00, 10.00
  0.90, 79.84, 24.69, 33.73, 33.00,  7.00
  0.91, 80.31, 24.55, 49.04, 47.00, 14.00
  0.92, 80.66, 24.47, 35.90, 35.00,  8.00
  0.93, 81.05, 24.36, 40.52, 39.00, 11.00
  0.94, 81.60, 24.24, 56.29, 55.00, 12.00
  0.95, 82.05, 24.13, 46.32, 45.00, 11.00
  0.96, 82.42, 24.03, 38.33, 37.00, 10.00
  0.97, 82.82, 23.97, 40.45, 40.00,  6.00
  0.98, 83.21, 23.92, 39.32, 39.00,  5.00
  0.99, 83.50, 23.87, 29.43, 29.00,  5.00
  1.00, 83.81, 23.85, 31.06, 31.00,  2.00
  1.01, 83.99, 23.87, 18.11, 18.00,  2.00
  1.02, 84.26, 23.92, 27.46, 27.00,  5.00
  1.03, 84.50, 23.97, 24.52, 24.00,  5.00
  1.04, 84.71, 24.01, 21.38, 21.00,  4.00
  1.05, 84.98, 24.13, 29.55, 27.00, 12.00
  1.06, 85.22, 24.22, 25.63, 24.00,  9.00
  1.07, 85.42, 24.37, 25.00, 20.00, 15.00
  1.08, 85.58, 24.47, 18.87, 16.00, 10.00
  1.09, 85.77, 24.58, 21.95, 19.00, 11.00
  1.10, 85.92, 24.68, 18.03, 15.00, 10.00
  1.11, 86.03, 24.72, 11.70, 11.00,  4.00
  1.12, 86.14, 24.81, 14.21, 11.00,  9.00
  1.13, 86.23, 24.90, 12.73,  9.00,  9.00
  1.14, 86.40, 24.95, 17.72, 17.00,  5.00
  1.15, 86.45, 25.02,  8.60,  5.00,  7.00
  1.16, 86.52, 25.05,  7.62,  7.00,  3.00
  1.17, 86.61, 25.09,  9.85,  9.00,  4.00
  1.18, 86.69, 25.12,  8.54,  8.00,  3.00
  1.19, 86.77, 25.19, 10.63,  8.00,  7.00
  1.20, 86.87, 25.22, 10.44, 10.00,  3.00
  1.21, 86.93, 25.22,  6.00,  6.00,  0.00
  1.22, 87.05, 25.27, 13.00, 12.00,  5.00
  1.23, 87.11, 25.31,  7.21,  6.00,  4.00
  1.24, 89.16, 26.06,218.29,205.00, 75.00
  1.25, 94.38, 27.93,554.48,522.00,187.00
  1.26, 96.85, 28.84,263.23,247.00, 91.00
  1.27, 98.70, 29.47,195.43,185.00, 63.00
  1.28, 99.63, 29.84,100.09, 93.00, 37.00
  1.29,100.88, 30.28,132.52,125.00, 44.00
  1.30,102.05, 30.72,125.00,117.00, 44.00
  1.31,103.53, 31.28,158.24,148.00, 56.00
  1.32,105.49, 32.03,209.86,196.00, 75.00
  1.33,108.04, 32.95,271.09,255.00, 92.00
  1.34,111.04, 34.00,317.84,300.00,105.00
  1.35,114.45, 35.22,362.17,341.00,122.00
  1.36,117.65, 36.31,338.05,320.00,109.00
  1.37,121.25, 37.58,381.74,360.00,127.00
  1.38,124.46, 38.65,338.36,321.00,107.00
  1.39,127.32, 39.55,299.83,286.00, 90.00
  1.40,129.43, 40.19,220.49,211.00, 64.00
  1.41,130.87, 40.57,148.93,144.00, 38.00
  1.42,131.32, 40.65, 45.71, 45.00,  8.00
  1.43,131.70, 40.67, 38.05, 38.00,  2.00
  1.44,132.09, 40.74, 39.62, 39.00,  7.00
  1.45,132.47, 40.78, 38.21, 38.00,  4.00
  1.46,132.90, 40.87, 43.93, 43.00,  9.00
  1.47,133.22, 40.91, 32.25, 32.00,  4.00
  1.48,133.64, 40.97, 42.43, 42.00,  6.00
  1.49,133.93, 41.02, 29.43, 29.00,  5.00
  1.50,134.38, 41.12, 46.10, 45.00, 10.00
  1.51,134.80, 41.18, 42.43, 42.00,  6.00
  1.52,135.14, 41.22, 34.23, 34.00,  4.00
  1.53,135.62, 41.31, 48.84, 48.00,  9.00
  1.54,135.94, 41.38, 32.76, 32.00,  7.00
  1.55,136.40, 41.46, 46.69, 46.00,  8.00
