"ID番号","_07"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:58:35"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",205.62
"総合COP 速度（cm/秒）", 86.03
"総合COP 矩形面積（c ㎡）",2522.42
"総合COP 左右幅（cm）", 12.58
"総合COP 前後幅（cm）",200.51
"総合COP Y 方向軌跡長（cm）", 35.58
"総合COP Y 方向単位軌跡長（cm/秒）", 14.89
"総合COP X 方向軌跡長（cm）",201.57
"総合COP X 方向単位軌跡長（cm/秒）", 84.34
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 28.55, 34.54,"-.--","-.--","-.--"
  0.01, 28.79, 34.69, 28.30, 24.00, 15.00
  0.02, 28.98, 34.62, 20.25, 19.00,  7.00
  0.03, 29.13, 34.60, 15.13, 15.00,  2.00
  0.04, 29.37, 34.58, 24.08, 24.00,  2.00
  0.05, 29.55, 34.56, 18.11, 18.00,  2.00
  0.06, 29.70, 34.59, 15.30, 15.00,  3.00
  0.07, 29.92, 34.60, 22.02, 22.00,  1.00
  0.08, 30.07, 34.65, 15.81, 15.00,  5.00
  0.09, 30.25, 34.68, 18.25, 18.00,  3.00
  0.10, 30.44, 34.70, 19.10, 19.00,  2.00
  0.11, 30.57, 34.72, 13.15, 13.00,  2.00
  0.12, 30.72, 34.73, 15.03, 15.00,  1.00
  0.13, 30.82, 34.75, 10.20, 10.00,  2.00
  0.14, 31.03, 34.80, 21.59, 21.00,  5.00
  0.15, 31.33, 34.91, 31.95, 30.00, 11.00
  0.16, 31.57, 34.96, 24.52, 24.00,  5.00
  0.17, 31.81, 35.02, 24.74, 24.00,  6.00
  0.18, 32.13, 35.12, 33.53, 32.00, 10.00
  0.19, 32.57, 35.21, 44.91, 44.00,  9.00
  0.20, 32.95, 35.30, 39.05, 38.00,  9.00
  0.21, 33.36, 35.40, 42.20, 41.00, 10.00
  0.22, 33.68, 35.46, 32.56, 32.00,  6.00
  0.23, 33.97, 35.54, 30.08, 29.00,  8.00
  0.24, 34.31, 35.61, 34.71, 34.00,  7.00
  0.25, 34.67, 35.66, 36.35, 36.00,  5.00
  0.26, 35.01, 35.75, 35.17, 34.00,  9.00
  0.27, 35.41, 35.83, 40.79, 40.00,  8.00
  0.28, 35.75, 35.89, 34.53, 34.00,  6.00
  0.29, 36.16, 35.96, 41.59, 41.00,  7.00
  0.30, 36.57, 36.00, 41.19, 41.00,  4.00
  0.31, 36.98, 36.05, 41.30, 41.00,  5.00
  0.32, 37.41, 36.09, 43.19, 43.00,  4.00
  0.33, 37.90, 36.10, 49.01, 49.00,  1.00
  0.34, 38.40, 36.10, 50.00, 50.00,  0.00
  0.35, 38.83, 36.13, 43.10, 43.00,  3.00
  0.36, 39.30, 36.12, 47.01, 47.00,  1.00
  0.37, 39.69, 36.14, 39.05, 39.00,  2.00
  0.38, 40.16, 36.17, 47.10, 47.00,  3.00
  0.39, 40.49, 36.20, 33.14, 33.00,  3.00
  0.40, 40.93, 36.16, 44.18, 44.00,  4.00
  0.41, 41.29, 36.17, 36.01, 36.00,  1.00
  0.42, 41.51, 36.14, 22.20, 22.00,  3.00
  0.43, 41.93, 36.12, 42.05, 42.00,  2.00
  0.44, 42.13, 36.07, 20.62, 20.00,  5.00
  0.45, 42.33, 36.01, 20.88, 20.00,  6.00
  0.46, 42.49, 35.98, 16.28, 16.00,  3.00
  0.47, 42.76, 35.89, 28.46, 27.00,  9.00
  0.48, 42.93, 35.80, 19.24, 17.00,  9.00
  0.49, 43.21, 35.68, 30.46, 28.00, 12.00
  0.50, 43.36, 35.61, 16.55, 15.00,  7.00
  0.51, 43.61, 35.49, 27.73, 25.00, 12.00
  0.52, 43.81, 35.36, 23.85, 20.00, 13.00
  0.53, 43.99, 35.28, 19.70, 18.00,  8.00
  0.54, 44.15, 35.21, 17.46, 16.00,  7.00
  0.55, 44.36, 35.12, 22.85, 21.00,  9.00
  0.56, 44.51, 35.09, 15.30, 15.00,  3.00
  0.57, 44.68, 35.00, 19.24, 17.00,  9.00
  0.58, 44.80, 35.00, 12.00, 12.00,  0.00
  0.59, 44.92, 34.95, 13.00, 12.00,  5.00
  0.60, 45.06, 34.89, 15.23, 14.00,  6.00
  0.61, 45.23, 34.81, 18.79, 17.00,  8.00
  0.62, 51.06, 33.54,596.67,583.00,127.00
  0.63, 55.96, 32.49,501.12,490.00,105.00
  0.64, 57.70, 32.13,177.69,174.00, 36.00
  0.65, 60.14, 31.65,248.68,244.00, 48.00
  0.66, 61.89, 31.31,178.27,175.00, 34.00
  0.67, 64.29, 30.81,245.15,240.00, 50.00
  0.68, 67.78, 30.10,356.15,349.00, 71.00
  0.69, 71.73, 29.28,403.42,395.00, 82.00
  0.70, 77.41, 28.12,579.72,568.00,116.00
  0.71, 82.38, 27.16,506.19,497.00, 96.00
  0.72, 88.73, 26.01,645.33,635.00,115.00
  0.73, 92.84, 25.35,416.27,411.00, 66.00
  0.74, 95.29, 24.92,248.74,245.00, 43.00
  0.75, 95.88, 24.88, 59.14, 59.00,  4.00
  0.76, 96.36, 24.85, 48.09, 48.00,  3.00
  0.77, 96.77, 24.83, 41.05, 41.00,  2.00
  0.78, 97.19, 24.76, 42.58, 42.00,  7.00
  0.79, 97.65, 24.69, 46.53, 46.00,  7.00
  0.80, 98.03, 24.60, 39.05, 38.00,  9.00
  0.81, 98.48, 24.53, 45.54, 45.00,  7.00
  0.82, 98.92, 24.45, 44.72, 44.00,  8.00
  0.83, 99.31, 24.37, 39.81, 39.00,  8.00
  0.84, 99.88, 24.29, 57.56, 57.00,  8.00
  0.85,100.35, 24.21, 47.68, 47.00,  8.00
  0.86,100.80, 24.11, 46.10, 45.00, 10.00
  0.87,101.35, 24.01, 55.90, 55.00, 10.00
  0.88,101.75, 23.91, 41.23, 40.00, 10.00
  0.89,102.16, 23.83, 41.77, 41.00,  8.00
  0.90,102.54, 23.80, 38.12, 38.00,  3.00
  0.91,102.94, 23.69, 41.48, 40.00, 11.00
  0.92,103.18, 23.67, 24.08, 24.00,  2.00
  0.93,103.29, 23.62, 12.08, 11.00,  5.00
  0.94,103.45, 23.62, 16.00, 16.00,  0.00
  0.95,103.66, 23.64, 21.10, 21.00,  2.00
  0.96,103.81, 23.65, 15.03, 15.00,  1.00
  0.97,103.97, 23.66, 16.03, 16.00,  1.00
  0.98,104.11, 23.62, 14.56, 14.00,  4.00
  0.99,104.30, 23.71, 21.02, 19.00,  9.00
  1.00,104.32, 23.68,  3.61,  2.00,  3.00
  1.01,104.53, 23.70, 21.10, 21.00,  2.00
  1.02,104.66, 23.74, 13.60, 13.00,  4.00
  1.03,104.77, 23.77, 11.40, 11.00,  3.00
  1.04,104.87, 23.80, 10.44, 10.00,  3.00
  1.05,105.02, 23.85, 15.81, 15.00,  5.00
  1.06,105.16, 23.90, 14.87, 14.00,  5.00
  1.07,105.26, 23.91, 10.05, 10.00,  1.00
  1.08,105.42, 23.97, 17.09, 16.00,  6.00
  1.09,105.51, 23.97,  9.00,  9.00,  0.00
  1.10,105.60, 24.00,  9.49,  9.00,  3.00
  1.11,105.72, 24.05, 13.00, 12.00,  5.00
  1.12,105.83, 24.09, 11.70, 11.00,  4.00
  1.13,105.93, 24.13, 10.77, 10.00,  4.00
  1.14,106.07, 24.19, 15.23, 14.00,  6.00
  1.15,111.09, 25.16,511.29,502.00, 97.00
  1.16,116.61, 26.24,562.47,552.00,108.00
  1.17,118.87, 26.63,229.34,226.00, 39.00
  1.18,120.75, 27.00,191.61,188.00, 37.00
  1.19,122.33, 27.31,161.01,158.00, 31.00
  1.20,125.58, 27.92,330.68,325.00, 61.00
  1.21,129.67, 28.65,415.46,409.00, 73.00
  1.22,134.58, 29.56,499.36,491.00, 91.00
