"ID番号","_07"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:58:35"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",205.62
"総合COP 速度（cm/秒）", 86.03
"総合COP 矩形面積（c ㎡）",2522.42
"総合COP 左右幅（cm）", 12.58
"総合COP 前後幅（cm）",200.51
"総合COP Y 方向軌跡長（cm）", 35.58
"総合COP Y 方向単位軌跡長（cm/秒）", 14.89
"総合COP X 方向軌跡長（cm）",201.57
"総合COP X 方向単位軌跡長（cm/秒）", 84.34
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  1.23,139.80, 30.46,529.70,522.00, 90.00
  1.24,144.37, 31.24,463.61,457.00, 78.00
  1.25,148.74, 31.94,442.57,437.00, 70.00
  1.26,152.29, 32.52,359.71,355.00, 58.00
  1.27,154.11, 32.80,184.14,182.00, 28.00
  1.28,155.10, 32.94, 99.98, 99.00, 14.00
  1.29,155.51, 32.99, 41.30, 41.00,  5.00
  1.30,155.89, 33.04, 38.33, 38.00,  5.00
  1.31,156.34, 33.09, 45.28, 45.00,  5.00
  1.32,156.74, 33.12, 40.11, 40.00,  3.00
  1.33,157.17, 33.15, 43.10, 43.00,  3.00
  1.34,157.64, 33.18, 47.10, 47.00,  3.00
  1.35,158.20, 33.23, 56.22, 56.00,  5.00
  1.36,158.77, 33.29, 57.31, 57.00,  6.00
  1.37,159.39, 33.31, 62.03, 62.00,  2.00
  1.38,160.05, 33.36, 66.19, 66.00,  5.00
  1.39,160.75, 33.45, 70.58, 70.00,  9.00
  1.40,161.31, 33.44, 56.01, 56.00,  1.00
  1.41,161.90, 33.44, 59.00, 59.00,  0.00
  1.42,162.49, 33.42, 59.03, 59.00,  2.00
  1.43,162.97, 33.41, 48.01, 48.00,  1.00
  1.44,163.26, 33.39, 29.07, 29.00,  2.00
  1.45,163.44, 33.33, 18.97, 18.00,  6.00
  1.46,163.61, 33.32, 17.03, 17.00,  1.00
  1.47,163.80, 33.28, 19.42, 19.00,  4.00
  1.48,163.88, 33.25,  8.54,  8.00,  3.00
  1.49,164.05, 33.23, 17.12, 17.00,  2.00
  1.50,164.21, 33.18, 16.76, 16.00,  5.00
  1.51,164.27, 33.16,  6.32,  6.00,  2.00
  1.52,164.40, 33.09, 14.76, 13.00,  7.00
  1.53,164.52, 33.08, 12.04, 12.00,  1.00
  1.54,164.63, 33.05, 11.40, 11.00,  3.00
  1.55,164.71, 33.02,  8.54,  8.00,  3.00
  1.56,164.88, 32.98, 17.46, 17.00,  4.00
  1.57,165.02, 32.92, 15.23, 14.00,  6.00
  1.58,165.12, 32.90, 10.20, 10.00,  2.00
  1.59,165.24, 32.88, 12.17, 12.00,  2.00
  1.60,165.32, 32.89,  8.06,  8.00,  1.00
  1.61,165.45, 32.84, 13.93, 13.00,  5.00
  1.62,165.57, 32.87, 12.37, 12.00,  3.00
  1.63,165.67, 32.83, 10.77, 10.00,  4.00
  1.64,165.75, 32.83,  8.00,  8.00,  0.00
  1.65,167.26, 32.59,152.90,151.00, 24.00
  1.66,177.89, 31.03,1074.39,1063.00,156.00
  1.67,179.59, 30.81,171.42,170.00, 22.00
  1.68,180.53, 30.66, 95.19, 94.00, 15.00
  1.69,181.39, 30.54, 86.83, 86.00, 12.00
  1.70,182.90, 30.29,153.06,151.00, 25.00
  1.71,185.06, 29.92,219.15,216.00, 37.00
  1.72,188.28, 29.47,325.13,322.00, 45.00
  1.73,191.60, 28.96,335.89,332.00, 51.00
  1.74,195.98, 28.36,442.09,438.00, 60.00
  1.75,200.71, 27.83,475.96,473.00, 53.00
  1.76,205.73, 27.20,505.94,502.00, 63.00
  1.77,209.76, 26.72,405.85,403.00, 48.00
  1.78,213.37, 26.29,363.55,361.00, 43.00
  1.79,215.43, 26.08,207.07,206.00, 21.00
  1.80,216.15, 26.01, 72.34, 72.00,  7.00
  1.81,216.56, 26.00, 41.01, 41.00,  1.00
  1.82,217.00, 25.96, 44.18, 44.00,  4.00
  1.83,217.38, 25.96, 38.00, 38.00,  0.00
  1.84,217.78, 25.95, 40.01, 40.00,  1.00
  1.85,218.22, 25.96, 44.01, 44.00,  1.00
  1.86,218.67, 25.98, 45.04, 45.00,  2.00
  1.87,219.15, 25.97, 48.01, 48.00,  1.00
  1.88,219.72, 25.99, 57.04, 57.00,  2.00
  1.89,220.32, 25.95, 60.13, 60.00,  4.00
  1.90,220.83, 25.95, 51.00, 51.00,  0.00
  1.91,221.36, 25.99, 53.15, 53.00,  4.00
  1.92,221.81, 25.98, 45.01, 45.00,  1.00
  1.93,222.28, 26.02, 47.17, 47.00,  4.00
  1.94,222.86, 26.01, 58.01, 58.00,  1.00
  1.95,222.99, 26.01, 13.00, 13.00,  0.00
  1.96,223.16, 26.04, 17.26, 17.00,  3.00
  1.97,223.31, 26.08, 15.52, 15.00,  4.00
  1.98,223.49, 26.10, 18.11, 18.00,  2.00
  1.99,223.66, 26.16, 18.03, 17.00,  6.00
  2.00,223.79, 26.20, 13.60, 13.00,  4.00
  2.01,223.91, 26.21, 12.04, 12.00,  1.00
  2.02,224.05, 26.31, 17.20, 14.00, 10.00
  2.03,224.16, 26.27, 11.70, 11.00,  4.00
  2.04,224.30, 26.35, 16.12, 14.00,  8.00
  2.05,224.41, 26.38, 11.40, 11.00,  3.00
  2.06,224.51, 26.43, 11.18, 10.00,  5.00
  2.07,224.64, 26.44, 13.04, 13.00,  1.00
  2.08,224.72, 26.48,  8.94,  8.00,  4.00
  2.09,224.83, 26.47, 11.05, 11.00,  1.00
  2.10,224.90, 26.49,  7.28,  7.00,  2.00
  2.11,225.02, 26.50, 12.04, 12.00,  1.00
  2.12,225.06, 26.48,  4.47,  4.00,  2.00
  2.13,225.16, 26.53, 11.18, 10.00,  5.00
  2.14,225.23, 26.50,  7.62,  7.00,  3.00
  2.15,225.33, 26.54, 10.77, 10.00,  4.00
  2.16,225.37, 26.52,  4.47,  4.00,  2.00
  2.17,225.45, 26.51,  8.06,  8.00,  1.00
  2.18,225.52, 26.55,  8.06,  7.00,  4.00
  2.19,225.62, 26.58, 10.44, 10.00,  3.00
  2.20,225.70, 26.65, 10.63,  8.00,  7.00
  2.21,225.74, 26.68,  5.00,  4.00,  3.00
  2.22,225.77, 26.72,  5.00,  3.00,  4.00
  2.23,225.87, 26.78, 11.66, 10.00,  6.00
  2.24,225.95, 26.88, 12.81,  8.00, 10.00
  2.25,226.13, 27.02, 22.80, 18.00, 14.00
  2.26,226.19, 27.15, 14.32,  6.00, 13.00
  2.27,226.29, 27.26, 14.87, 10.00, 11.00
  2.28,226.46, 27.41, 22.67, 17.00, 15.00
  2.29,226.74, 27.59, 33.29, 28.00, 18.00
  2.30,226.94, 27.75, 25.61, 20.00, 16.00
  2.31,227.27, 27.97, 39.66, 33.00, 22.00
  2.32,227.43, 28.10, 20.62, 16.00, 13.00
  2.33,227.78, 28.26, 38.48, 35.00, 16.00
  2.34,228.00, 28.32, 22.80, 22.00,  6.00
  2.35,228.42, 28.46, 44.27, 42.00, 14.00
  2.36,228.82, 28.53, 40.61, 40.00,  7.00
  2.37,229.06, 28.51, 24.08, 24.00,  2.00
  2.38,228.95, 28.54, 11.40, 11.00,  3.00
  2.39,228.00, 29.00,105.55, 95.00, 46.00
  2.40,"-.--","-.--","-.--","-.--","-.--"
  2.41,"-.--","-.--","-.--","-.--","-.--"
  2.42,"-.--","-.--","-.--","-.--","-.--"
  2.43,"-.--","-.--","-.--","-.--","-.--"
  2.44,"-.--","-.--","-.--","-.--","-.--"
  2.45,"-.--","-.--","-.--","-.--","-.--"
  2.46,"-.--","-.--","-.--","-.--","-.--"
  2.47,"-.--","-.--","-.--","-.--","-.--"
  2.48,"-.--","-.--","-.--","-.--","-.--"
  2.49,"-.--","-.--","-.--","-.--","-.--"
  2.50,"-.--","-.--","-.--","-.--","-.--"
  2.51,"-.--","-.--","-.--","-.--","-.--"
  2.52,"-.--","-.--","-.--","-.--","-.--"
  2.53,"-.--","-.--","-.--","-.--","-.--"
  2.54,"-.--","-.--","-.--","-.--","-.--"
  2.55,"-.--","-.--","-.--","-.--","-.--"
  2.56,"-.--","-.--","-.--","-.--","-.--"
  2.57,"-.--","-.--","-.--","-.--","-.--"
  2.58,"-.--","-.--","-.--","-.--","-.--"
  2.59,"-.--","-.--","-.--","-.--","-.--"
  2.60,"-.--","-.--","-.--","-.--","-.--"
  2.61,"-.--","-.--","-.--","-.--","-.--"
  2.62,"-.--","-.--","-.--","-.--","-.--"
  2.63,"-.--","-.--","-.--","-.--","-.--"
  2.64,"-.--","-.--","-.--","-.--","-.--"
  2.65,"-.--","-.--","-.--","-.--","-.--"
  2.66,"-.--","-.--","-.--","-.--","-.--"
  2.67,"-.--","-.--","-.--","-.--","-.--"
  2.68,"-.--","-.--","-.--","-.--","-.--"
  2.69,"-.--","-.--","-.--","-.--","-.--"
  2.70,"-.--","-.--","-.--","-.--","-.--"
  2.71,"-.--","-.--","-.--","-.--","-.--"
  2.72,"-.--","-.--","-.--","-.--","-.--"
  2.73,"-.--","-.--","-.--","-.--","-.--"
  2.74,"-.--","-.--","-.--","-.--","-.--"
  2.75,"-.--","-.--","-.--","-.--","-.--"
  2.76,"-.--","-.--","-.--","-.--","-.--"
  2.77,"-.--","-.--","-.--","-.--","-.--"
  2.78,"-.--","-.--","-.--","-.--","-.--"
  2.79,"-.--","-.--","-.--","-.--","-.--"
  2.80,"-.--","-.--","-.--","-.--","-.--"
  2.81,"-.--","-.--","-.--","-.--","-.--"
  2.82,"-.--","-.--","-.--","-.--","-.--"
  2.83,"-.--","-.--","-.--","-.--","-.--"
  2.84,"-.--","-.--","-.--","-.--","-.--"
  2.85,"-.--","-.--","-.--","-.--","-.--"
  2.86,"-.--","-.--","-.--","-.--","-.--"
  2.87,"-.--","-.--","-.--","-.--","-.--"
  2.88,"-.--","-.--","-.--","-.--","-.--"
  2.89,"-.--","-.--","-.--","-.--","-.--"
  2.90,"-.--","-.--","-.--","-.--","-.--"
  2.91,"-.--","-.--","-.--","-.--","-.--"
  2.92,"-.--","-.--","-.--","-.--","-.--"
  2.93,"-.--","-.--","-.--","-.--","-.--"
  2.94,"-.--","-.--","-.--","-.--","-.--"
  2.95,"-.--","-.--","-.--","-.--","-.--"
  2.96,"-.--","-.--","-.--","-.--","-.--"
  2.97,"-.--","-.--","-.--","-.--","-.--"
  2.98,"-.--","-.--","-.--","-.--","-.--"
  2.99,"-.--","-.--","-.--","-.--","-.--"
  3.00,"-.--","-.--","-.--","-.--","-.--"
  3.01,"-.--","-.--","-.--","-.--","-.--"
  3.02,"-.--","-.--","-.--","-.--","-.--"
  3.03,"-.--","-.--","-.--","-.--","-.--"
  3.04,"-.--","-.--","-.--","-.--","-.--"
  3.05,"-.--","-.--","-.--","-.--","-.--"
  3.06,"-.--","-.--","-.--","-.--","-.--"
  3.07,"-.--","-.--","-.--","-.--","-.--"
  3.08,"-.--","-.--","-.--","-.--","-.--"
  3.09,"-.--","-.--","-.--","-.--","-.--"
  3.10,"-.--","-.--","-.--","-.--","-.--"
  3.11,"-.--","-.--","-.--","-.--","-.--"
  3.12,"-.--","-.--","-.--","-.--","-.--"
  3.13,"-.--","-.--","-.--","-.--","-.--"
  3.14,"-.--","-.--","-.--","-.--","-.--"
  3.15,"-.--","-.--","-.--","-.--","-.--"
  3.16,"-.--","-.--","-.--","-.--","-.--"
  3.17,"-.--","-.--","-.--","-.--","-.--"
  3.18,"-.--","-.--","-.--","-.--","-.--"
  3.19,"-.--","-.--","-.--","-.--","-.--"
  3.20,"-.--","-.--","-.--","-.--","-.--"
  3.21,"-.--","-.--","-.--","-.--","-.--"
  3.22,"-.--","-.--","-.--","-.--","-.--"
  3.23,"-.--","-.--","-.--","-.--","-.--"
  3.24,"-.--","-.--","-.--","-.--","-.--"
  3.25,"-.--","-.--","-.--","-.--","-.--"
  3.26,"-.--","-.--","-.--","-.--","-.--"
  3.27,"-.--","-.--","-.--","-.--","-.--"
  3.28,"-.--","-.--","-.--","-.--","-.--"
  3.29,"-.--","-.--","-.--","-.--","-.--"
  3.30,"-.--","-.--","-.--","-.--","-.--"
  3.31,"-.--","-.--","-.--","-.--","-.--"
  3.32,"-.--","-.--","-.--","-.--","-.--"
  3.33,"-.--","-.--","-.--","-.--","-.--"
  3.34,"-.--","-.--","-.--","-.--","-.--"
  3.35,"-.--","-.--","-.--","-.--","-.--"
  3.36,"-.--","-.--","-.--","-.--","-.--"
  3.37,"-.--","-.--","-.--","-.--","-.--"
  3.38,"-.--","-.--","-.--","-.--","-.--"
  3.39,"-.--","-.--","-.--","-.--","-.--"
  3.40,"-.--","-.--","-.--","-.--","-.--"
  3.41,"-.--","-.--","-.--","-.--","-.--"
  3.42,"-.--","-.--","-.--","-.--","-.--"
  3.43,"-.--","-.--","-.--","-.--","-.--"
  3.44,"-.--","-.--","-.--","-.--","-.--"
  3.45,"-.--","-.--","-.--","-.--","-.--"
  3.46,"-.--","-.--","-.--","-.--","-.--"
  3.47,"-.--","-.--","-.--","-.--","-.--"
  3.48,"-.--","-.--","-.--","-.--","-.--"
  3.49,"-.--","-.--","-.--","-.--","-.--"
  3.50,"-.--","-.--","-.--","-.--","-.--"
  3.51,"-.--","-.--","-.--","-.--","-.--"
  3.52,"-.--","-.--","-.--","-.--","-.--"
  3.53,"-.--","-.--","-.--","-.--","-.--"
  3.54,"-.--","-.--","-.--","-.--","-.--"
  3.55,"-.--","-.--","-.--","-.--","-.--"
  3.56,"-.--","-.--","-.--","-.--","-.--"
  3.57,"-.--","-.--","-.--","-.--","-.--"
  3.58,"-.--","-.--","-.--","-.--","-.--"
  3.59,"-.--","-.--","-.--","-.--","-.--"
  3.60,"-.--","-.--","-.--","-.--","-.--"
  3.61,"-.--","-.--","-.--","-.--","-.--"
  3.62,"-.--","-.--","-.--","-.--","-.--"
  3.63,"-.--","-.--","-.--","-.--","-.--"
  3.64,"-.--","-.--","-.--","-.--","-.--"
  3.65,"-.--","-.--","-.--","-.--","-.--"
  3.66,"-.--","-.--","-.--","-.--","-.--"
  3.67,"-.--","-.--","-.--","-.--","-.--"
  3.68,"-.--","-.--","-.--","-.--","-.--"
  3.69,"-.--","-.--","-.--","-.--","-.--"
  3.70,"-.--","-.--","-.--","-.--","-.--"
  3.71,"-.--","-.--","-.--","-.--","-.--"
  3.72,"-.--","-.--","-.--","-.--","-.--"
  3.73,"-.--","-.--","-.--","-.--","-.--"
  3.74,"-.--","-.--","-.--","-.--","-.--"
  3.75,"-.--","-.--","-.--","-.--","-.--"
  3.76,"-.--","-.--","-.--","-.--","-.--"
  3.77,"-.--","-.--","-.--","-.--","-.--"
  3.78,"-.--","-.--","-.--","-.--","-.--"
  3.79,"-.--","-.--","-.--","-.--","-.--"
  3.80,"-.--","-.--","-.--","-.--","-.--"
  3.81,"-.--","-.--","-.--","-.--","-.--"
  3.82,"-.--","-.--","-.--","-.--","-.--"
  3.83,"-.--","-.--","-.--","-.--","-.--"
  3.84,"-.--","-.--","-.--","-.--","-.--"
  3.85,"-.--","-.--","-.--","-.--","-.--"
  3.86,"-.--","-.--","-.--","-.--","-.--"
  3.87,"-.--","-.--","-.--","-.--","-.--"
  3.88,"-.--","-.--","-.--","-.--","-.--"
  3.89,"-.--","-.--","-.--","-.--","-.--"
  3.90,"-.--","-.--","-.--","-.--","-.--"
  3.91,"-.--","-.--","-.--","-.--","-.--"
  3.92,"-.--","-.--","-.--","-.--","-.--"
  3.93,"-.--","-.--","-.--","-.--","-.--"
  3.94,"-.--","-.--","-.--","-.--","-.--"
  3.95,"-.--","-.--","-.--","-.--","-.--"
  3.96,"-.--","-.--","-.--","-.--","-.--"
  3.97,"-.--","-.--","-.--","-.--","-.--"
  3.98,"-.--","-.--","-.--","-.--","-.--"
  3.99,"-.--","-.--","-.--","-.--","-.--"
  4.00,"-.--","-.--","-.--","-.--","-.--"
  4.01,"-.--","-.--","-.--","-.--","-.--"
  4.02,"-.--","-.--","-.--","-.--","-.--"
  4.03,"-.--","-.--","-.--","-.--","-.--"
  4.04,"-.--","-.--","-.--","-.--","-.--"
  4.05,"-.--","-.--","-.--","-.--","-.--"
  4.06,"-.--","-.--","-.--","-.--","-.--"
  4.07,"-.--","-.--","-.--","-.--","-.--"
  4.08,"-.--","-.--","-.--","-.--","-.--"
  4.09,"-.--","-.--","-.--","-.--","-.--"
  4.10,"-.--","-.--","-.--","-.--","-.--"
  4.11,"-.--","-.--","-.--","-.--","-.--"
  4.12,"-.--","-.--","-.--","-.--","-.--"
  4.13,"-.--","-.--","-.--","-.--","-.--"
  4.14,"-.--","-.--","-.--","-.--","-.--"
  4.15,"-.--","-.--","-.--","-.--","-.--"
  4.16,"-.--","-.--","-.--","-.--","-.--"
  4.17,"-.--","-.--","-.--","-.--","-.--"
  4.18,"-.--","-.--","-.--","-.--","-.--"
  4.19,"-.--","-.--","-.--","-.--","-.--"
  4.20,"-.--","-.--","-.--","-.--","-.--"
  4.21,"-.--","-.--","-.--","-.--","-.--"
  4.22,"-.--","-.--","-.--","-.--","-.--"
  4.23,"-.--","-.--","-.--","-.--","-.--"
  4.24,"-.--","-.--","-.--","-.--","-.--"
  4.25,"-.--","-.--","-.--","-.--","-.--"
  4.26,"-.--","-.--","-.--","-.--","-.--"
  4.27,"-.--","-.--","-.--","-.--","-.--"
  4.28,"-.--","-.--","-.--","-.--","-.--"
  4.29,"-.--","-.--","-.--","-.--","-.--"
  4.30,"-.--","-.--","-.--","-.--","-.--"
  4.31,"-.--","-.--","-.--","-.--","-.--"
  4.32,"-.--","-.--","-.--","-.--","-.--"
  4.33,"-.--","-.--","-.--","-.--","-.--"
  4.34,"-.--","-.--","-.--","-.--","-.--"
  4.35,"-.--","-.--","-.--","-.--","-.--"
  4.36,"-.--","-.--","-.--","-.--","-.--"
  4.37,"-.--","-.--","-.--","-.--","-.--"
  4.38,"-.--","-.--","-.--","-.--","-.--"
  4.39,"-.--","-.--","-.--","-.--","-.--"
  4.40,"-.--","-.--","-.--","-.--","-.--"
  4.41,"-.--","-.--","-.--","-.--","-.--"
  4.42,"-.--","-.--","-.--","-.--","-.--"
  4.43,"-.--","-.--","-.--","-.--","-.--"
  4.44,"-.--","-.--","-.--","-.--","-.--"
  4.45,"-.--","-.--","-.--","-.--","-.--"
  4.46,"-.--","-.--","-.--","-.--","-.--"
  4.47,"-.--","-.--","-.--","-.--","-.--"
  4.48,"-.--","-.--","-.--","-.--","-.--"
  4.49,"-.--","-.--","-.--","-.--","-.--"
  4.50,"-.--","-.--","-.--","-.--","-.--"
  4.51,"-.--","-.--","-.--","-.--","-.--"
  4.52,"-.--","-.--","-.--","-.--","-.--"
  4.53,"-.--","-.--","-.--","-.--","-.--"
  4.54,"-.--","-.--","-.--","-.--","-.--"
  4.55,"-.--","-.--","-.--","-.--","-.--"
  4.56,"-.--","-.--","-.--","-.--","-.--"
  4.57,"-.--","-.--","-.--","-.--","-.--"
  4.58,"-.--","-.--","-.--","-.--","-.--"
  4.59,"-.--","-.--","-.--","-.--","-.--"
  4.60,"-.--","-.--","-.--","-.--","-.--"
  4.61,"-.--","-.--","-.--","-.--","-.--"
  4.62,"-.--","-.--","-.--","-.--","-.--"
  4.63,"-.--","-.--","-.--","-.--","-.--"
  4.64,"-.--","-.--","-.--","-.--","-.--"
