"ID番号","_03"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:38:04"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",234.05
"総合COP 速度（cm/秒）", 69.45
"総合COP 矩形面積（c ㎡）",4376.01
"総合COP 左右幅（cm）", 19.99
"総合COP 前後幅（cm）",218.91
"総合COP Y 方向軌跡長（cm）", 76.43
"総合COP Y 方向単位軌跡長（cm/秒）", 22.68
"総合COP X 方向軌跡長（cm）",218.91
"総合COP X 方向単位軌跡長（cm/秒）", 64.96
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 16.47, 47.00,"-.--","-.--","-.--"
  0.01, 16.78, 47.11, 32.89, 31.00, 11.00
  0.02, 16.93, 47.25, 20.52, 15.00, 14.00
  0.03, 17.04, 47.26, 11.05, 11.00,  1.00
  0.04, 17.16, 47.25, 12.04, 12.00,  1.00
  0.05, 17.36, 47.26, 20.02, 20.00,  1.00
  0.06, 17.59, 47.30, 23.35, 23.00,  4.00
  0.07, 17.76, 47.33, 17.26, 17.00,  3.00
  0.08, 17.89, 47.36, 13.34, 13.00,  3.00
  0.09, 18.01, 47.38, 12.17, 12.00,  2.00
  0.10, 18.12, 47.37, 11.05, 11.00,  1.00
  0.11, 18.34, 47.39, 22.09, 22.00,  2.00
  0.12, 18.62, 47.47, 29.12, 28.00,  8.00
  0.13, 18.97, 47.55, 35.90, 35.00,  8.00
  0.14, 19.06, 47.58,  9.49,  9.00,  3.00
  0.15, 19.30, 47.68, 26.00, 24.00, 10.00
  0.16, 19.40, 47.72, 10.77, 10.00,  4.00
  0.17, 19.59, 47.77, 19.65, 19.00,  5.00
  0.18, 19.71, 47.87, 15.62, 12.00, 10.00
  0.19, 20.02, 47.92, 31.40, 31.00,  5.00
  0.20, 20.24, 47.99, 23.09, 22.00,  7.00
  0.21, 20.35, 48.03, 11.70, 11.00,  4.00
  0.22, 20.55, 48.11, 21.54, 20.00,  8.00
  0.23, 20.78, 48.17, 23.77, 23.00,  6.00
  0.24, 20.87, 48.21,  9.85,  9.00,  4.00
  0.25, 21.09, 48.29, 23.41, 22.00,  8.00
  0.26, 21.16, 48.32,  7.62,  7.00,  3.00
  0.27, 21.22, 48.33,  6.08,  6.00,  1.00
  0.28, 21.34, 48.39, 13.42, 12.00,  6.00
  0.29, 21.48, 48.41, 14.14, 14.00,  2.00
  0.30, 21.53, 48.45,  6.40,  5.00,  4.00
  0.31, 21.60, 48.46,  7.07,  7.00,  1.00
  0.32, 21.73, 48.51, 13.93, 13.00,  5.00
  0.33, 21.75, 48.54,  3.61,  2.00,  3.00
  0.34, 21.81, 48.56,  6.32,  6.00,  2.00
  0.35, 21.92, 48.59, 11.40, 11.00,  3.00
  0.36, 21.96, 48.58,  4.12,  4.00,  1.00
  0.37, 22.07, 48.58, 11.00, 11.00,  0.00
