"ID番号","_04"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:46:06"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",235.79
"総合COP 速度（cm/秒）", 81.31
"総合COP 矩形面積（c ㎡）",4935.62
"総合COP 左右幅（cm）", 21.94
"総合COP 前後幅（cm）",224.96
"総合COP Y 方向軌跡長（cm）", 62.80
"総合COP Y 方向単位軌跡長（cm/秒）", 21.66
"総合COP X 方向軌跡長（cm）",224.96
"総合COP X 方向単位軌跡長（cm/秒）", 77.57
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 14.04, 35.92,"-.--","-.--","-.--"
  0.01, 14.14, 35.88, 10.77, 10.00,  4.00
  0.02, 14.34, 35.84, 20.40, 20.00,  4.00
  0.03, 14.53, 35.82, 19.10, 19.00,  2.00
  0.04, 14.70, 35.87, 17.72, 17.00,  5.00
  0.05, 14.87, 35.89, 17.12, 17.00,  2.00
  0.06, 15.07, 35.94, 20.62, 20.00,  5.00
  0.07, 15.17, 35.95, 10.05, 10.00,  1.00
  0.08, 15.33, 36.00, 16.76, 16.00,  5.00
  0.09, 15.48, 36.02, 15.13, 15.00,  2.00
  0.10, 15.71, 36.05, 23.19, 23.00,  3.00
  0.11, 16.01, 36.11, 30.59, 30.00,  6.00
  0.12, 16.57, 36.10, 56.01, 56.00,  1.00
  0.13, 17.02, 36.12, 45.04, 45.00,  2.00
  0.14, 17.28, 36.12, 26.00, 26.00,  0.00
  0.15, 17.97, 36.10, 69.03, 69.00,  2.00
  0.16, 18.31, 36.09, 34.01, 34.00,  1.00
  0.17, 18.59, 36.09, 28.00, 28.00,  0.00
  0.18, 18.81, 36.09, 22.00, 22.00,  0.00
  0.19, 19.20, 36.08, 39.01, 39.00,  1.00
  0.20, 19.39, 36.07, 19.03, 19.00,  1.00
  0.21, 19.54, 36.05, 15.13, 15.00,  2.00
  0.22, 19.84, 36.01, 30.27, 30.00,  4.00
  0.23, 20.04, 36.00, 20.02, 20.00,  1.00
  0.24, 20.29, 35.99, 25.02, 25.00,  1.00
  0.25, 20.45, 35.97, 16.12, 16.00,  2.00
  0.26, 20.73, 35.94, 28.16, 28.00,  3.00
  0.27, 20.86, 35.92, 13.15, 13.00,  2.00
  0.28, 21.10, 35.92, 24.00, 24.00,  0.00
  0.29, 21.34, 35.91, 24.02, 24.00,  1.00
  0.30, 21.52, 35.90, 18.03, 18.00,  1.00
  0.31, 21.78, 35.92, 26.08, 26.00,  2.00
  0.32, 22.10, 35.87, 32.39, 32.00,  5.00
  0.33, 22.31, 35.87, 21.00, 21.00,  0.00
  0.34, 22.74, 35.85, 43.05, 43.00,  2.00
  0.35, 22.93, 35.85, 19.00, 19.00,  0.00
  0.36, 23.26, 35.83, 33.06, 33.00,  2.00
  0.37, 23.61, 35.82, 35.01, 35.00,  1.00
  0.38, 23.91, 35.82, 30.00, 30.00,  0.00
  0.39, 24.33, 35.77, 42.30, 42.00,  5.00
  0.40, 24.66, 35.72, 33.38, 33.00,  5.00
  0.41, 24.91, 35.70, 25.08, 25.00,  2.00
  0.42, 25.24, 35.70, 33.00, 33.00,  0.00
  0.43, 25.51, 35.66, 27.29, 27.00,  4.00
  0.44, 25.87, 35.63, 36.12, 36.00,  3.00
  0.45, 26.19, 35.60, 32.14, 32.00,  3.00
  0.46, 26.55, 35.59, 36.01, 36.00,  1.00
  0.47, 26.94, 35.51, 39.81, 39.00,  8.00
  0.48, 27.31, 35.48, 37.12, 37.00,  3.00
  0.49, 27.57, 35.41, 26.93, 26.00,  7.00
  0.50, 27.82, 35.38, 25.18, 25.00,  3.00
  0.51, 28.00, 35.31, 19.31, 18.00,  7.00
  0.52, 28.10, 35.28, 10.44, 10.00,  3.00
  0.53, 28.21, 35.25, 11.40, 11.00,  3.00
  0.54, 28.31, 35.18, 12.21, 10.00,  7.00
  0.55, 28.42, 35.16, 11.18, 11.00,  2.00
  0.56, 28.51, 35.13,  9.49,  9.00,  3.00
  0.57, 28.59, 35.10,  8.54,  8.00,  3.00
  0.58, 28.73, 35.03, 15.65, 14.00,  7.00
  0.59, 28.81, 34.99,  8.94,  8.00,  4.00
  0.60, 28.92, 34.96, 11.40, 11.00,  3.00
  0.61, 29.00, 34.93,  8.54,  8.00,  3.00
  0.62, 29.10, 34.86, 12.21, 10.00,  7.00
  0.63, 29.21, 34.82, 11.70, 11.00,  4.00
  0.64, 29.29, 34.76, 10.00,  8.00,  6.00
  0.65, 30.19, 34.56, 92.20, 90.00, 20.00
  0.66, 34.63, 33.36,459.93,444.00,120.00
  0.67, 37.62, 32.60,308.51,299.00, 76.00
  0.68, 38.87, 32.31,128.32,125.00, 29.00
  0.69, 39.98, 32.04,114.24,111.00, 27.00
  0.70, 40.64, 31.85, 68.68, 66.00, 19.00
  0.71, 42.37, 31.37,179.54,173.00, 48.00
  0.72, 43.82, 31.01,149.40,145.00, 36.00
  0.73, 45.02, 30.72,123.45,120.00, 29.00
  0.74, 46.33, 30.38,135.34,131.00, 34.00
  0.75, 48.36, 29.88,209.07,203.00, 50.00
  0.76, 50.21, 29.47,189.49,185.00, 41.00
  0.77, 53.38, 28.69,326.46,317.00, 78.00
  0.78, 56.98, 27.88,369.00,360.00, 81.00
  0.79, 60.19, 27.19,328.33,321.00, 69.00
  0.80, 63.70, 26.45,358.72,351.00, 74.00
  0.81, 66.24, 25.91,259.68,254.00, 54.00
  0.82, 68.20, 25.50,200.24,196.00, 41.00
  0.83, 69.24, 25.30,105.91,104.00, 20.00
  0.84, 69.67, 25.30, 43.00, 43.00,  0.00
  0.85, 70.04, 25.26, 37.22, 37.00,  4.00
  0.86, 70.31, 25.28, 27.07, 27.00,  2.00
  0.87, 70.64, 25.25, 33.14, 33.00,  3.00
  0.88, 70.82, 25.21, 18.44, 18.00,  4.00
  0.89, 71.28, 25.16, 46.27, 46.00,  5.00
  0.90, 71.56, 25.09, 28.86, 28.00,  7.00
  0.91, 71.86, 25.04, 30.41, 30.00,  5.00
  0.92, 72.27, 24.97, 41.59, 41.00,  7.00
  0.93, 72.58, 24.92, 31.40, 31.00,  5.00
  0.94, 73.02, 24.86, 44.41, 44.00,  6.00
  0.95, 73.42, 24.79, 40.61, 40.00,  7.00
  0.96, 73.88, 24.73, 46.39, 46.00,  6.00
  0.97, 74.39, 24.69, 51.16, 51.00,  4.00
  0.98, 74.80, 24.66, 41.11, 41.00,  3.00
  0.99, 75.18, 24.59, 38.64, 38.00,  7.00
  1.00, 75.71, 24.56, 53.08, 53.00,  3.00
  1.01, 76.16, 24.55, 45.01, 45.00,  1.00
  1.02, 76.61, 24.51, 45.18, 45.00,  4.00
  1.03, 76.93, 24.51, 32.00, 32.00,  0.00
  1.04, 77.29, 24.50, 36.01, 36.00,  1.00
  1.05, 77.62, 24.49, 33.02, 33.00,  1.00
  1.06, 77.93, 24.53, 31.26, 31.00,  4.00
  1.07, 78.17, 24.54, 24.02, 24.00,  1.00
  1.08, 78.31, 24.57, 14.32, 14.00,  3.00
  1.09, 78.47, 24.60, 16.28, 16.00,  3.00
  1.10, 78.64, 24.65, 17.72, 17.00,  5.00
  1.11, 78.80, 24.72, 17.46, 16.00,  7.00
  1.12, 78.94, 24.77, 14.87, 14.00,  5.00
  1.13, 79.13, 24.86, 21.02, 19.00,  9.00
  1.14, 79.28, 24.93, 16.55, 15.00,  7.00
