"ID番号","_08"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 23:02:30"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",221.43
"総合COP 速度（cm/秒）", 92.65
"総合COP 矩形面積（c ㎡）",3107.56
"総合COP 左右幅（cm）", 14.63
"総合COP 前後幅（cm）",212.41
"総合COP Y 方向軌跡長（cm）", 53.66
"総合COP Y 方向単位軌跡長（cm/秒）", 22.45
"総合COP X 方向軌跡長（cm）",213.67
"総合COP X 方向単位軌跡長（cm/秒）", 89.40
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 26.59, 31.57,"-.--","-.--","-.--"
  0.01, 26.85, 31.61, 26.31, 26.00,  4.00
  0.02, 26.99, 31.66, 14.87, 14.00,  5.00
  0.03, 27.09, 31.64, 10.20, 10.00,  2.00
  0.04, 27.30, 31.64, 21.00, 21.00,  0.00
  0.05, 27.44, 31.66, 14.14, 14.00,  2.00
  0.06, 27.61, 31.62, 17.46, 17.00,  4.00
  0.07, 27.80, 31.61, 19.03, 19.00,  1.00
  0.08, 27.92, 31.58, 12.37, 12.00,  3.00
  0.09, 28.08, 31.55, 16.28, 16.00,  3.00
  0.10, 28.26, 31.51, 18.44, 18.00,  4.00
  0.11, 28.42, 31.50, 16.03, 16.00,  1.00
  0.12, 28.85, 31.41, 43.93, 43.00,  9.00
  0.13, 29.39, 31.38, 54.08, 54.00,  3.00
  0.14, 29.90, 31.22, 53.45, 51.00, 16.00
  0.15, 30.37, 31.16, 47.38, 47.00,  6.00
  0.16, 30.74, 31.08, 37.85, 37.00,  8.00
  0.17, 31.11, 30.98, 38.33, 37.00, 10.00
  0.18, 31.53, 30.86, 43.68, 42.00, 12.00
  0.19, 31.80, 30.76, 28.79, 27.00, 10.00
  0.20, 32.12, 30.68, 32.98, 32.00,  8.00
  0.21, 32.54, 30.58, 43.17, 42.00, 10.00
  0.22, 32.97, 30.48, 44.15, 43.00, 10.00
  0.23, 33.31, 30.41, 34.71, 34.00,  7.00
  0.24, 33.75, 30.32, 44.91, 44.00,  9.00
  0.25, 34.19, 30.25, 44.55, 44.00,  7.00
  0.26, 34.73, 30.16, 54.74, 54.00,  9.00
  0.27, 35.21, 30.08, 48.66, 48.00,  8.00
  0.28, 35.67, 30.00, 46.69, 46.00,  8.00
  0.29, 36.16, 29.93, 49.50, 49.00,  7.00
