"ID番号","_06"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:54:46"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",227.54
"総合COP 速度（cm/秒）", 86.85
"総合COP 矩形面積（c ㎡）",3910.25
"総合COP 左右幅（cm）", 17.74
"総合COP 前後幅（cm）",220.42
"総合COP Y 方向軌跡長（cm）", 51.60
"総合COP Y 方向単位軌跡長（cm/秒）", 19.69
"総合COP X 方向軌跡長（cm）",220.42
"総合COP X 方向単位軌跡長（cm/秒）", 84.13
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 18.58, 34.33,"-.--","-.--","-.--"
  0.01, 18.61, 34.29,  5.00,  3.00,  4.00
  0.02, 18.77, 34.27, 16.12, 16.00,  2.00
  0.03, 18.98, 34.25, 21.10, 21.00,  2.00
  0.04, 19.15, 34.23, 17.12, 17.00,  2.00
  0.05, 19.38, 34.22, 23.02, 23.00,  1.00
  0.06, 19.53, 34.20, 15.13, 15.00,  2.00
  0.07, 19.65, 34.17, 12.37, 12.00,  3.00
  0.08, 19.76, 34.10, 13.04, 11.00,  7.00
  0.09, 19.81, 34.11,  5.10,  5.00,  1.00
  0.10, 19.95, 34.08, 14.32, 14.00,  3.00
  0.11, 19.99, 34.06,  4.47,  4.00,  2.00
  0.12, 20.28, 33.98, 30.08, 29.00,  8.00
  0.13, 20.44, 33.97, 16.03, 16.00,  1.00
  0.14, 20.53, 33.91, 10.82,  9.00,  6.00
  0.15, 20.80, 33.84, 27.89, 27.00,  7.00
  0.16, 21.13, 33.71, 35.47, 33.00, 13.00
  0.17, 21.44, 33.62, 32.28, 31.00,  9.00
  0.18, 21.52, 33.56, 10.00,  8.00,  6.00
  0.19, 21.77, 33.48, 26.25, 25.00,  8.00
  0.20, 21.86, 33.44,  9.85,  9.00,  4.00
  0.21, 21.88, 33.44,  2.00,  2.00,  0.00
  0.22, 22.08, 33.40, 20.40, 20.00,  4.00
  0.23, 22.14, 33.38,  6.32,  6.00,  2.00
  0.24, 22.32, 33.41, 18.25, 18.00,  3.00
  0.25, 22.46, 33.41, 14.00, 14.00,  0.00
  0.26, 22.55, 33.43,  9.22,  9.00,  2.00
  0.27, 22.84, 33.44, 29.02, 29.00,  1.00
  0.28, 22.96, 33.54, 15.62, 12.00, 10.00
  0.29, 23.11, 33.54, 15.00, 15.00,  0.00
  0.30, 23.28, 33.55, 17.03, 17.00,  1.00
  0.31, 23.46, 33.56, 18.03, 18.00,  1.00
  0.32, 23.63, 33.56, 17.00, 17.00,  0.00
  0.33, 23.92, 33.55, 29.02, 29.00,  1.00
  0.34, 24.11, 33.57, 19.10, 19.00,  2.00
  0.35, 24.39, 33.54, 28.16, 28.00,  3.00
  0.36, 24.67, 33.52, 28.07, 28.00,  2.00
  0.37, 24.91, 33.46, 24.74, 24.00,  6.00
  0.38, 25.24, 33.42, 33.24, 33.00,  4.00
  0.39, 25.58, 33.36, 34.53, 34.00,  6.00
  0.40, 26.05, 33.33, 47.10, 47.00,  3.00
  0.41, 26.48, 33.29, 43.19, 43.00,  4.00
  0.42, 26.86, 33.25, 38.21, 38.00,  4.00
  0.43, 27.33, 33.20, 47.27, 47.00,  5.00
  0.44, 27.84, 33.15, 51.24, 51.00,  5.00
  0.45, 28.30, 33.10, 46.27, 46.00,  5.00
  0.46, 28.83, 33.08, 53.04, 53.00,  2.00
  0.47, 29.39, 33.01, 56.44, 56.00,  7.00
  0.48, 29.94, 32.94, 55.44, 55.00,  7.00
  0.49, 30.51, 32.89, 57.22, 57.00,  5.00
  0.50, 31.12, 32.81, 61.52, 61.00,  8.00
  0.51, 31.57, 32.78, 45.10, 45.00,  3.00
  0.52, 32.07, 32.76, 50.04, 50.00,  2.00
  0.53, 32.51, 32.72, 44.18, 44.00,  4.00
  0.54, 32.79, 32.71, 28.02, 28.00,  1.00
  0.55, 33.04, 32.71, 25.00, 25.00,  0.00
  0.56, 33.27, 32.72, 23.02, 23.00,  1.00
  0.57, 33.42, 32.73, 15.03, 15.00,  1.00
  0.58, 33.61, 32.76, 19.24, 19.00,  3.00
  0.59, 33.80, 32.81, 19.65, 19.00,  5.00
  0.60, 33.94, 32.83, 14.14, 14.00,  2.00
  0.61, 34.13, 32.88, 19.65, 19.00,  5.00
  0.62, 38.08, 34.33,420.77,395.00,145.00
  0.63, 41.37, 35.47,348.19,329.00,114.00
  0.64, 43.10, 36.07,183.11,173.00, 60.00
  0.65, 44.73, 36.62,172.03,163.00, 55.00
  0.66, 45.80, 37.03,114.59,107.00, 41.00
  0.67, 47.28, 37.55,156.87,148.00, 52.00
  0.68, 48.69, 38.01,148.31,141.00, 46.00
  0.69, 50.77, 38.75,220.77,208.00, 74.00
  0.70, 53.37, 39.63,274.49,260.00, 88.00
  0.71, 56.38, 40.62,316.86,301.00, 99.00
  0.72, 60.46, 41.96,429.44,408.00,134.00
  0.73, 63.25, 42.87,293.47,279.00, 91.00
